year,month,day,extended,State,City,latitude,longitude,specificity,vicinity,criteria_1,criteria_2,criteria_3,doubt_terrorism,multiple,success,suicide,Attack Type,Attack Name,Target Type,Target Name,Group Name,guncertain1,Weapon Type,Weapon Name,property,Hostage/Kidnapped,Property Value,Fatalities,Offender Fatalities,Wounded,Date
1975,3,25,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),Front for the Liberation of the French Somali Coast,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1975-03-25
1981,1,27,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Somali Salvation Front (SSF),0.0,6,Explosives,1,0.0,216666.66666666666,2.9603626943005183,0.7280546420440172,2.765963511972634,1981-01-27
1981,1,27,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Somali Salvation Front (SSF),0.0,6,Explosives,1,0.0,216666.66666666666,2.9603626943005183,0.7280546420440172,2.765963511972634,1981-01-27
1983,4,28,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,21,Utilities,Somali Salvation Democratic Front (SSDF),0.0,6,Explosives,1,0.0,216666.66666666666,2.9603626943005183,0.7280546420440172,2.765963511972634,1983-04-28
1984,7,19,0,Woqooyi Galbeed,Hargeisa,9.556936,44.074135,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1984-07-19
1984,11,24,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,6,Airports & Aircraft,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,2.0,1984-11-24
1987,1,23,1,Woqooyi Galbeed,Tug Wajale,9.59972,43.335,1.0,0,1,1,1,0,0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Somali National Movement,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1987-01-23
1988,5,27,0,Togdheer,Burco,9.522078,45.535412,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,14,Private Citizens & Property,Somali National Movement,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1988-05-27
1988,6,5,0,Woqooyi Galbeed,Hargeisa,9.556936,44.074135,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,14,Private Citizens & Property,Somali National Movement,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,5.0,1988-06-05
1989,6,28,0,Awdal,Borama,9.935752,43.183136,1.0,1,1,1,1,0,0,1,0,3,Bombing/Explosion,6,Airports & Aircraft,Somali National Movement,0.0,6,Explosives,1,0.0,600000.0,30.0,0.7280546420440172,0.0,1989-06-28
1989,9,2,0,Woqooyi Galbeed,Hargeisa,9.556936,44.074135,1.0,0,1,1,0,1,0,1,0,3,Bombing/Explosion,4,Military,Somali National Movement,0.0,6,Explosives,1,0.0,40000.0,0.0,0.7280546420440172,0.0,1989-09-02
1990,7,15,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-07-15
1990,7,19,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,3,Police,Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-07-19
1990,7,22,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,12,NGO,Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-07-22
1990,7,22,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,3,Police,Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-07-22
1990,7,28,0,Unknown,Unknown,0.0,0.0,5.0,0,1,1,0,1,0,1,0,1,Assassination,4,Military,United Somali Congress,1.0,5,Firearms,0,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1990-07-28
1990,8,13,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-08-13
1990,8,13,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-08-13
1990,9,6,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-09-06
1990,9,6,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1990-09-06
1990,10,6,1,Unknown,Unknown,0.0,0.0,5.0,0,1,1,1,0,0,1,0,6,Hostage Taking (Kidnapping),12,NGO,Somali National Movement,0.0,5,Firearms,1,1.0,216666.66666666666,1.0,0.7280546420440172,0.0,1990-10-06
1990,12,16,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,1,1,1,0,1,0,1,0,3,Bombing/Explosion,4,Military,United Somali Congress,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1990-12-16
1990,12,20,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,6,Airports & Aircraft,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1990-12-20
1991,1,10,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1991-01-10
1991,3,29,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,6,Airports & Aircraft,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1991-03-29
1991,4,24,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,11,Maritime,Islamist extremists,0.0,5,Firearms,0,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1991-04-24
1991,5,10,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,0,0,1,0,4,Hijacking,3,Police,Somali Patriotic Movement,0.0,5,Firearms,0,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1991-05-10
1991,5,18,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,1,Assassination,2,Government (General),Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1991-05-18
